"node","time","measure","q05","q5","q95","mean","q10","q25","q75","q90","q025","q975","capacity","node_name"
62,107,"niq",43.4698242998261,63.1641876366882,86.6257801672355,63.4819127227109,49.097060983036,59.2998410229815,71.5323638958184,82.3569980781451,31.9056976857191,89.3730004918574,37,"P3_SG_BCap_S1los_S1Arr"
62,107,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,108,"niq",44.5440564105798,63.9830839444273,86.11469854412,63.8524172503562,48.7682362415428,58.9143078484138,71.5997392270807,81.730732370183,31.1500152067611,89.1948453027649,37,"P3_SG_BCap_S1los_S1Arr"
62,108,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,109,"niq",46.1014813991724,64.3611503547254,87.4314172975992,64.9618918310203,49.9556585209284,58.9531494665371,72.6709563944779,82.480003429753,33.327379773252,90.2827579289702,37,"P3_SG_BCap_S1los_S1Arr"
62,109,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,110,"niq",48.0902036319734,65.4648219071479,88.1951298200254,65.7404424128928,51.3990756236379,59.5738455227887,74.2893616725867,83.6611069355962,33.1522696494109,91.3863455038694,37,"P3_SG_BCap_S1los_S1Arr"
62,110,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,111,"niq",47.247658637095,66.2468843320301,90.6255329434737,66.5698436157269,51.056301652463,58.7620534778428,75.717517819204,84.1132842235023,33.8938638537948,91.8752525974253,37,"P3_SG_BCap_S1los_S1Arr"
62,111,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
62,112,"niq",46.3196315796981,68.0406820071321,92.8672784031358,67.4126954991651,52.1067880850022,61.4399549894543,75.876612639167,85.2301064775904,31.6528266000839,93.8472868325204,37,"P3_SG_BCap_S1los_S1Arr"
62,112,"occ",37,37,37,37,37,37,37,37,37,37,37,"P3_SG_BCap_S1los_S1Arr"
